user_id,recommendation_rank,item_id,title,category,brand,price,rating,popularity_score,item_interaction_count,item_distinct_user_count,item_total_quantity,item_total_revenue,was_seen_in_training
1,1,18,Cat Food,groceries,unknown,8.99,3.13,5.21298712154586,6,6,16.0,143.84,False
1,2,170,unknown,unknown,unknown,,,5.138526483086796,4,4,15.0,554999.85,False
1,3,132,unknown,unknown,unknown,,,5.11967828186554,5,5,14.0,6999.860000000001,False
1,4,97,Rolex Datejust,mens-watches,Rolex,10999.99,3.66,4.8815744517242505,4,4,12.0,131999.88,False
1,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,4.88,4.535262214294743,4,4,17.0,8499.83,False
2,1,18,Cat Food,groceries,unknown,8.99,3.13,5.21298712154586,6,6,16.0,143.84,False
2,2,170,unknown,unknown,unknown,,,5.138526483086796,4,4,15.0,554999.85,False
2,3,132,unknown,unknown,unknown,,,5.11967828186554,5,5,14.0,6999.860000000001,False
2,4,97,Rolex Datejust,mens-watches,Rolex,10999.99,3.66,4.8815744517242505,4,4,12.0,131999.88,False
2,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,4.88,4.535262214294743,4,4,17.0,8499.83,False
3,1,18,Cat Food,groceries,unknown,8.99,3.13,5.21298712154586,6,6,16.0,143.84,False
3,2,170,unknown,unknown,unknown,,,5.138526483086796,4,4,15.0,554999.85,False
3,3,132,unknown,unknown,unknown,,,5.11967828186554,5,5,14.0,6999.860000000001,False
3,4,97,Rolex Datejust,mens-watches,Rolex,10999.99,3.66,4.8815744517242505,4,4,12.0,131999.88,False
3,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,4.88,4.535262214294743,4,4,17.0,8499.83,False
4,1,18,Cat Food,groceries,unknown,8.99,3.13,5.21298712154586,6,6,16.0,143.84,False
4,2,170,unknown,unknown,unknown,,,5.138526483086796,4,4,15.0,554999.85,False
4,3,132,unknown,unknown,unknown,,,5.11967828186554,5,5,14.0,6999.860000000001,False
4,4,97,Rolex Datejust,mens-watches,Rolex,10999.99,3.66,4.8815744517242505,4,4,12.0,131999.88,False
4,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,4.88,4.535262214294743,4,4,17.0,8499.83,False
5,1,18,Cat Food,groceries,unknown,8.99,3.13,5.21298712154586,6,6,16.0,143.84,False
5,2,170,unknown,unknown,unknown,,,5.138526483086796,4,4,15.0,554999.85,False
5,3,132,unknown,unknown,unknown,,,5.11967828186554,5,5,14.0,6999.860000000001,False
5,4,97,Rolex Datejust,mens-watches,Rolex,10999.99,3.66,4.8815744517242505,4,4,12.0,131999.88,False
5,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,4.88,4.535262214294743,4,4,17.0,8499.83,False
