item_id,item_interaction_count,item_distinct_user_count,item_total_quantity,item_total_revenue,item_avg_quantity,item_avg_line_total,has_catalog_metadata,interaction_component,user_component,quantity_component,revenue_component,popularity_score,title,category,price,rating,stock,brand,rank
18,6,6,16.0,143.84,2.6666666666666665,23.973333333333333,1,6,6,2.833213344056216,4.975629684897441,5.21298712154586,Cat Food,groceries,8.99,3.13,46.0,unknown,1
170,4,4,15.0,554999.85,3.75,138749.9625,0,4,4,2.772588722239781,13.22672492425893,5.138526483086796,unknown,unknown,,,,unknown,2
132,5,5,14.0,6999.860000000001,2.8,1399.9720000000002,0,5,5,2.70805020110221,8.853788277633987,5.11967828186554,unknown,unknown,,,,unknown,3
97,4,4,12.0,131999.88,3.0,32999.97,1,4,4,2.5649493574615367,11.790563868212953,4.8815744517242505,Rolex Datejust,mens-watches,10999.99,3.66,86.0,Rolex,4
14,4,4,17.0,8499.83,4.25,2124.9575,1,4,4,2.8903717578961645,9.047919084770067,4.535262214294743,Knoll Saarinen Executive Conference Chair,furniture,499.99,4.88,26.0,Knoll,5
161,4,4,12.0,4199.88,3.0,1049.97,0,4,4,2.5649493574615367,8.343049306133937,4.364447267412398,unknown,unknown,,,,unknown,6
169,3,3,12.0,299999.88,4.0,99999.96,0,3,3,2.5649493574615367,12.61154068696737,4.354720974537413,unknown,unknown,,,,unknown,7
130,4,4,10.0,3499.9,2.5,874.975,0,4,4,2.3978952727983707,8.16077535727909,4.303695358151538,unknown,unknown,,,,unknown,8
106,4,4,9.0,3149.91,2.25,787.4775,0,4,4,2.302585092994046,8.055446578988207,4.26883400544704,unknown,unknown,,,,unknown,9
192,3,3,10.0,109999.9,3.3333333333333335,36666.63333333333,0,3,3,2.3978952727983707,11.608243826559264,4.170815628543564,unknown,unknown,,,,unknown,10
122,4,3,13.0,3899.87,3.25,974.9675,0,4,3,2.6390573296152584,8.268954884162858,4.11815469854748,unknown,unknown,,,,unknown,11
96,3,3,7.0,90999.93,2.3333333333333335,30333.309999999998,1,3,3,2.0794415416798357,11.418625005226986,4.078682059120015,Rolex Cellini Moonphase,mens-watches,12999.99,2.58,36.0,Rolex,12
175,4,4,11.0,439.89000000000004,2.75,109.97250000000001,0,4,4,2.4849066497880004,6.088795411226659,4.010300641641599,unknown,unknown,,,,unknown,13
98,3,3,5.0,69999.95,1.6666666666666667,23333.316666666666,1,3,3,1.791759469228055,11.156264092367977,3.981791507700808,Rolex Submariner Watch,mens-watches,13999.99,2.69,55.0,Rolex,14
79,3,3,7.0,12599.93,2.3333333333333335,4199.9766666666665,1,3,3,2.0794415416798357,9.44152589973959,3.782117193296906,Asus Zenbook Pro Dual Screen Laptop,laptops,1799.99,3.95,45.0,Asus,15
133,3,2,13.0,9099.869999999999,4.333333333333333,3033.2899999999995,0,3,2,2.6390573296152584,9.116125292330736,3.5952302597726624,unknown,unknown,,,,unknown,16
41,4,4,9.0,22.410000000000004,2.25,5.602500000000001,1,4,4,2.302585092994046,3.1531632815028194,3.5334915108242324,Tissue Paper Box,groceries,2.49,2.69,86.0,unknown,17
90,3,3,12.0,1079.88,4.0,359.96000000000004,1,3,3,2.5649493574615367,6.985530803151704,3.510819491965063,Puma Future Rider Trainers,mens-shoes,89.99,4.9,90.0,Puma,18
180,3,3,11.0,549.8900000000001,3.6666666666666665,183.2966666666667,0,3,3,2.4849066497880004,6.311535152199198,3.39371160278748,unknown,unknown,,,,unknown,19
9,3,3,9.0,629.91,3.0,209.97,1,3,3,2.302585092994046,6.447163221623632,3.377591501842354,Dolce Shine Eau de,fragrances,69.99,3.96,4.0,Dolce & Gabbana,20
164,3,3,12.0,419.88,4.0,139.96,0,3,3,2.5649493574615367,6.042347757422552,3.3693420351056904,unknown,unknown,,,,unknown,21
8,3,3,7.0,629.93,2.3333333333333335,209.97666666666666,1,3,3,2.0794415416798357,6.447194921363696,3.3329675465405217,Dior J'adore,fragrances,89.99,3.8,98.0,Dior,22
114,2,2,6.0,53999.939999999995,3.0,26999.969999999998,0,2,2,1.9459101490553132,10.896756732802311,3.3236955397314096,unknown,unknown,,,,unknown,23
36,3,3,11.0,219.89,3.6666666666666665,73.29666666666667,1,3,3,2.4849066497880004,5.397664840048735,3.2566310559649105,Protein Powder,groceries,19.99,4.18,80.0,unknown,24
129,3,3,3.0,899.97,1.0,299.99,0,3,3,1.3862943611198906,6.8034719607166,3.247779666331468,unknown,unknown,,,,unknown,25
117,2,2,5.0,37499.95,2.5,18749.975,0,2,2,1.791759469228055,10.532121544970952,3.238170125591254,unknown,unknown,,,,unknown,26
113,2,2,6.0,23999.94,3.0,11999.97,0,2,2,1.9459101490553132,10.085848275229756,3.202059271095526,unknown,unknown,,,,unknown,27
120,3,3,12.0,119.88,4.0,39.96,0,3,3,2.5649493574615367,4.794798317964484,3.18220961918698,unknown,unknown,,,,unknown,28
78,2,2,7.0,13999.93,3.5,6999.965,1,2,2,2.0794415416798357,9.546879034962544,3.147920163580349,Apple MacBook Pro 14 Inch Space Grey,laptops,1999.99,3.65,24.0,Apple,29
61,3,3,6.0,209.94,2.0,69.98,1,3,3,1.9459101490553132,5.351573732848468,3.141918089738333,Hand Blender,kitchen-accessories,34.99,3.86,84.0,unknown,30
72,3,3,11.0,98.89,3.6666666666666665,32.96333333333333,1,3,3,2.4849066497880004,4.604069580544058,3.137591767039209,Slotted Turner,kitchen-accessories,8.99,3.4,88.0,unknown,31
44,3,3,6.0,179.94,2.0,59.98,1,3,3,1.9459101490553132,5.198165484597595,3.1189068525007024,Family Tree Photo Frame,home-decoration,29.99,4.53,77.0,unknown,32
73,3,3,7.0,139.92999999999998,2.3333333333333335,46.643333333333324,1,3,3,2.0794415416798357,4.9482633132034195,3.1081278053164803,Spice Rack,kitchen-accessories,19.99,4.87,79.0,unknown,33
101,2,2,6.0,3299.94,3.0,1649.97,0,2,2,1.9459101490553132,8.101962555377792,2.9044764131177314,unknown,unknown,,,,unknown,34
138,3,3,5.0,44.95,1.6666666666666667,14.983333333333334,0,3,3,1.791759469228055,3.827553848801696,2.8824849711658658,unknown,unknown,,,,unknown,35
88,2,2,10.0,1499.9,5.0,749.95,1,2,2,2.3978952727983707,7.313820207162269,2.8766520856340145,Nike Air Jordan 1 Red And Black,mens-shoes,149.99,4.77,7.0,Nike,36
13,2,2,7.0,2099.9300000000003,3.5,1049.9650000000001,1,2,2,2.0794415416798357,7.650135382822089,2.8634086157592806,Bedside Table African Cherry,furniture,299.99,2.87,64.0,Furniture Co.,37
16,3,3,8.0,15.92,2.6666666666666665,5.306666666666667,1,3,3,2.1972245773362196,2.8284963541780774,2.813719368593956,Apple,groceries,1.99,4.19,8.0,unknown,38
174,2,2,4.0,2399.96,2.0,1199.98,0,2,2,1.6094379124341003,7.783623936357364,2.7894311729404246,unknown,unknown,,,,unknown,39
136,2,2,4.0,1999.96,2.0,999.98,0,2,2,1.6094379124341003,7.6013823443789335,2.7620949341436605,unknown,unknown,,,,unknown,40
127,2,2,5.0,1499.95,2.5,749.975,0,2,2,1.791759469228055,7.313853519952718,2.7554299218385188,unknown,unknown,,,,unknown,41
168,1,1,4.0,131999.96,4.0,131999.96,0,1,1,1.6094379124341003,11.790564474269335,2.74047225362722,unknown,unknown,,,,unknown,42
181,2,2,6.0,1079.94,3.0,539.97,0,2,2,1.9459101490553132,6.985586311935983,2.7370199766014602,unknown,unknown,,,,unknown,43
171,1,1,4.0,127999.96,4.0,127999.96,0,1,1,1.6094379124341003,11.75979304287363,2.7358565389178646,unknown,unknown,,,,unknown,44
7,2,2,6.0,779.94,3.0,389.97,1,2,2,1.9459101490553132,6.66049832230466,2.6882567781567617,Chanel Coco Noir Eau De,fragrances,129.99,4.26,58.0,Chanel,45
43,2,2,8.0,479.91999999999996,4.0,239.95999999999998,1,2,2,2.1972245773362196,6.175700936106709,2.66580005588325,Decoration Swing,home-decoration,59.99,3.16,47.0,unknown,46
99,2,2,6.0,599.9399999999999,3.0,299.96999999999997,1,2,2,1.9459101490553132,6.398495095940852,2.6489562942021907,Amazon Echo Plus,mobile-accessories,99.99,4.99,61.0,Amazon,47
177,2,2,5.0,649.95,2.5,324.975,0,2,2,1.791759469228055,6.4784328343434066,2.630116818997122,unknown,unknown,,,,unknown,48
107,2,2,7.0,349.93,3.5,174.965,0,2,2,2.0794415416798357,5.860586773377589,2.5949763243426056,unknown,unknown,,,,unknown,49
187,2,2,7.0,349.93,3.5,174.965,0,2,2,2.0794415416798357,5.860586773377589,2.5949763243426056,unknown,unknown,,,,unknown,50
156,2,2,8.0,279.92,4.0,139.96,0,2,2,2.1972245773362196,5.638069931290819,2.585155405160867,unknown,unknown,,,,unknown,51
86,2,2,10.0,199.89999999999998,5.0,99.94999999999999,1,2,2,2.3978952727983707,5.302807271820889,2.5750001453328073,Man Short Sleeve Shirt,mens-shirts,19.99,2.9,2.0,Casual Comfort,52
108,2,2,8.0,239.92,4.0,119.96,0,2,2,2.1972245773362196,5.4844649281755204,2.562114654693572,unknown,unknown,,,,unknown,53
141,2,2,7.0,279.93,3.5,139.965,0,2,2,2.0794415416798357,5.638105527980331,2.561604137533017,unknown,unknown,,,,unknown,54
100,2,2,4.0,519.96,2.0,259.98,1,2,2,1.6094379124341003,6.2556732633741206,2.5602385719929384,Apple Airpods,mobile-accessories,129.99,4.15,67.0,Apple,55
75,2,2,10.0,169.89999999999998,5.0,84.94999999999999,1,2,2,2.3978952727983707,5.141078590121545,2.550740843077906,Tray,kitchen-accessories,16.99,4.62,71.0,unknown,56
183,2,2,8.0,199.92,4.0,99.96,0,2,2,2.1972245773362196,5.302906818881844,2.5348809382995205,unknown,unknown,,,,unknown,57
115,1,1,3.0,44999.97,3.0,44999.97,0,1,1,1.3862943611198906,10.714439324075695,2.534424770835332,unknown,unknown,,,,unknown,58
154,2,2,6.0,179.94,3.0,89.97,0,2,2,1.9459101490553132,5.198165484597595,2.468906852500702,unknown,unknown,,,,unknown,59
162,2,2,6.0,179.94,3.0,89.97,0,2,2,1.9459101490553132,5.198165484597595,2.468906852500702,unknown,unknown,,,,unknown,60
46,2,2,8.0,119.92,4.0,59.96,1,2,2,2.1972245773362196,4.795129169911258,2.4587142909539326,Plant Pot,home-decoration,14.99,3.01,59.0,unknown,61
95,1,1,3.0,26999.97,3.0,26999.97,1,1,1,1.3862943611198906,10.203628070267072,2.457803082764039,Rolex Cellini Date Black Dial,mens-watches,8999.99,4.97,40.0,Rolex,62
178,2,2,3.0,269.96999999999997,1.5,134.98499999999999,0,2,2,1.3862943611198906,5.60200811364487,2.4175600892707085,unknown,unknown,,,,unknown,63
163,2,2,6.0,119.94,3.0,59.97,0,2,2,1.9459101490553132,4.795294554845067,2.4084762130378228,unknown,unknown,,,,unknown,64
24,2,2,6.0,89.94,3.0,44.97,1,2,2,1.9459101490553132,4.510199948396864,2.3657120220705923,Fish Steak,groceries,14.99,3.78,74.0,unknown,65
63,2,2,8.0,63.92,4.0,31.96,1,2,2,2.1972245773362196,4.17315574264639,2.3654182768642027,Kitchen Sieve,kitchen-accessories,7.99,3.09,68.0,unknown,66
2,2,2,5.0,99.94999999999999,2.5,49.974999999999994,1,2,2,1.791759469228055,4.614625344758847,2.350545695559438,Eyeshadow Palette with Mirror,beauty,19.99,2.86,34.0,Glamour Beauty,67
