user_id,item_id,content_score,category_score,parent_category_score,metadata_score,conversion_score,popularity_prior,category_id,parent_category_id,is_available,train_event_count,train_interaction_score,recommendation_rank,target_item_id,is_hit
155,280328,2.269284406145488,0.5714285714285714,0.5714285714285714,0.2,0.050546448087431695,0.3044522437723423,589,1308,1,366,440.0,1,368372,False
155,344071,2.264763645642913,0.5714285714285714,0.5714285714285714,0.2,0.037117903930131,0.31336002742706814,589,1308,1,458,526.0,2,368372,False
155,199018,2.2520355441756585,0.5714285714285714,0.5714285714285714,0.2,0.05952380952380952,0.2782260203661347,589,1308,1,210,260.0,3,368372,False
155,168504,2.2466113665351255,0.5714285714285714,0.5714285714285714,0.2,0.09868421052631579,0.2336414417230953,589,1308,1,76,106.0,4,368372,False
155,206930,2.2430049180800498,0.5714285714285714,0.5714285714285714,0.2,0.04824561403508772,0.280473589759248,589,1308,1,228,272.0,5,368372,False
177,339822,0.8542753637231633,0.0,0.0,0.2,0.43333333333333335,0.22094203038982993,624,871,1,30,82.0,1,6073,False
177,167827,0.8253860301614485,0.0,0.0,0.2,0.41666666666666663,0.20871936349478185,1493,594,1,24,64.0,2,6073,False
177,184011,0.7899620725993959,0.0,0.0,0.1,0.4666666666666667,0.2232954059327292,624,871,0,30,86.0,3,6073,False
177,8015,0.7879441541679837,0.0,0.0,0.2,0.38,0.2079441541679836,686,594,1,25,63.0,4,6073,False
177,213834,0.7509568595302922,0.0,0.0,0.2,0.2302839116719243,0.32067294785836786,1163,561,1,317,609.0,5,6073,False
264,339822,0.8542753637231633,0.0,0.0,0.2,0.43333333333333335,0.22094203038982993,624,871,1,30,82.0,1,459835,False
264,167827,0.8253860301614485,0.0,0.0,0.2,0.41666666666666663,0.20871936349478185,1493,594,1,24,64.0,2,459835,False
264,184011,0.7899620725993959,0.0,0.0,0.1,0.4666666666666667,0.2232954059327292,624,871,0,30,86.0,3,459835,False
264,8015,0.7879441541679837,0.0,0.0,0.2,0.38,0.2079441541679836,686,594,1,25,63.0,4,459835,False
264,213834,0.7509568595302922,0.0,0.0,0.2,0.2302839116719243,0.32067294785836786,1163,561,1,317,609.0,5,459835,False
1480,339822,0.8542753637231633,0.0,0.0,0.2,0.43333333333333335,0.22094203038982993,624,871,1,30,82.0,1,325852,False
1480,167827,0.8253860301614485,0.0,0.0,0.2,0.41666666666666663,0.20871936349478185,1493,594,1,24,64.0,2,325852,False
1480,184011,0.7899620725993959,0.0,0.0,0.1,0.4666666666666667,0.2232954059327292,624,871,0,30,86.0,3,325852,False
1480,8015,0.7879441541679837,0.0,0.0,0.2,0.38,0.2079441541679836,686,594,1,25,63.0,4,325852,False
1480,213834,0.7509568595302922,0.0,0.0,0.2,0.2302839116719243,0.32067294785836786,1163,561,1,317,609.0,5,325852,False
1742,339822,0.8542753637231633,0.0,0.0,0.2,0.43333333333333335,0.22094203038982993,624,871,1,30,82.0,1,225612,False
1742,167827,0.8253860301614485,0.0,0.0,0.2,0.41666666666666663,0.20871936349478185,1493,594,1,24,64.0,2,225612,False
1742,184011,0.7899620725993959,0.0,0.0,0.1,0.4666666666666667,0.2232954059327292,624,871,0,30,86.0,3,225612,False
1742,8015,0.7879441541679837,0.0,0.0,0.2,0.38,0.2079441541679836,686,594,1,25,63.0,4,225612,False
1742,213834,0.7509568595302922,0.0,0.0,0.2,0.2302839116719243,0.32067294785836786,1163,561,1,317,609.0,5,225612,False
