item_id,train_event_count,train_unique_users,train_view_events,train_addtocart_events,train_transaction_events,train_interaction_score,category_id,parent_category_id,is_available,has_category_metadata,has_availability_metadata,addtocart_rate,transaction_rate,popularity_score,rank
461686,2482,1190,2104.0,268.0,110.0,3458.0,1037,402,1,1,1,0.12737642585551331,0.05228136882129278,6.5815082441363435,1
7943,1371,770,1247.0,83.0,41.0,1701.0,398,1323,1,1,1,0.06655974338412189,0.03287890938251804,5.878361420585165,2
257040,1643,983,1527.0,89.0,27.0,1929.0,683,1606,0,1,1,0.058284217419777344,0.01768172888015717,5.865438456090703,3
312728,1104,586,905.0,158.0,41.0,1584.0,1098,897,1,1,1,0.17458563535911603,0.045303867403314914,5.845516423360273,4
320130,1213,701,1068.0,116.0,29.0,1561.0,1483,561,1,1,1,0.10861423220973783,0.027153558052434457,5.7864291529785135,5
48030,1114,626,978.0,95.0,41.0,1468.0,1219,121,0,1,1,0.09713701431492842,0.041922290388548056,5.731140248431239,6
219512,1606,1225,1550.0,45.0,11.0,1740.0,5,1637,1,1,1,0.02903225806451613,0.0070967741935483875,5.692609474637824,7
445351,1011,600,884.0,84.0,43.0,1351.0,1483,561,0,1,1,0.09502262443438914,0.048642533936651584,5.6844878887076495,8
309778,1624,1051,1561.0,48.0,15.0,1780.0,683,1606,0,1,1,0.03074951953875721,0.009609224855861628,5.677283985899297,9
234255,1235,939,1146.0,73.0,16.0,1445.0,1051,955,1,1,1,0.0636998254799302,0.013961605584642234,5.6691417080351565,10
369447,1209,611,1098.0,80.0,31.0,1493.0,48,500,0,1,1,0.07285974499089254,0.028233151183970857,5.660460112932376,11
384302,1420,1022,1352.0,55.0,13.0,1582.0,5,1637,1,1,1,0.040680473372781065,0.009615384615384616,5.659801150436878,12
37029,1169,739,1074.0,71.0,24.0,1407.0,1483,561,0,1,1,0.06610800744878957,0.0223463687150838,5.623074538111994,13
409804,763,430,575.0,154.0,34.0,1207.0,1191,61,1,1,1,0.2678260869565217,0.059130434782608696,5.6206276979136485,14
29196,1053,619,898.0,136.0,19.0,1401.0,1265,1136,0,1,1,0.1514476614699332,0.021158129175946547,5.59683644384121,15
441852,948,630,832.0,89.0,27.0,1234.0,959,1095,0,1,1,0.10697115384615384,0.03245192307692308,5.575778834328202,16
119736,833,251,700.0,41.0,92.0,1283.0,57,314,1,1,1,0.05857142857142857,0.13142857142857142,5.575738326036807,17
441668,1313,983,1271.0,31.0,11.0,1419.0,1263,1637,1,1,1,0.024390243902439025,0.00865460267505901,5.519826254738758,18
111530,1342,853,1293.0,38.0,11.0,1462.0,1625,1141,1,1,1,0.029389017788089715,0.008507347254447023,5.516118053425757,19
420960,852,350,758.0,57.0,37.0,1114.0,1529,805,1,1,1,0.07519788918205805,0.048812664907651716,5.455401962424073,20
17478,726,371,618.0,71.0,37.0,1016.0,1373,872,1,1,1,0.11488673139158576,0.059870550161812294,5.454752265834593,21
190000,1000,693,943.0,40.0,17.0,1148.0,5,1637,1,1,1,0.042417815482502653,0.018027571580063628,5.453708459515868,22
9877,1026,399,940.0,63.0,23.0,1244.0,858,1426,1,1,1,0.06702127659574468,0.02446808510638298,5.450121534742075,23
65273,976,666,907.0,58.0,11.0,1136.0,342,500,1,1,1,0.0639470782800441,0.012127894156560088,5.394891983327292,24
290999,941,691,897.0,32.0,12.0,1053.0,1192,955,1,1,1,0.03567447045707915,0.013377926421404682,5.331676208183896,25
316753,792,534,694.0,84.0,14.0,1016.0,342,500,0,1,1,0.12103746397694524,0.020172910662824207,5.3262868110129,26
315543,1030,514,974.0,43.0,13.0,1168.0,1279,1606,0,1,1,0.044147843942505136,0.013347022587268994,5.292833739069639,27
133907,899,700,861.0,28.0,10.0,995.0,48,500,1,1,1,0.032520325203252036,0.011614401858304297,5.265934512350809,28
5411,2174,1936,2165.0,9.0,0.0,2192.0,789,14,1,1,1,0.004157043879907622,0.0,5.249692724518309,29
12217,782,566,729.0,41.0,12.0,912.0,1375,805,1,1,1,0.056241426611796985,0.01646090534979424,5.24854101149057,30
248455,632,280,545.0,50.0,37.0,880.0,1349,121,0,1,1,0.09174311926605505,0.06788990825688074,5.242711512925617,31
112782,1010,793,982.0,21.0,7.0,1080.0,1263,1637,1,1,1,0.021384928716904276,0.007128309572301426,5.238520146039266,32
187946,2824,2393,2822.0,2.0,0.0,2828.0,1393,1383,0,1,1,0.0007087172218284905,0.0,5.2341128789169185,33
268883,625,310,552.0,47.0,26.0,823.0,1529,805,1,1,1,0.08514492753623189,0.04710144927536232,5.216903914300253,34
231482,746,535,696.0,38.0,12.0,870.0,1051,955,1,1,1,0.05459770114942529,0.017241379310344827,5.208236367113973,35
455183,809,590,763.0,37.0,9.0,919.0,1051,955,1,1,1,0.04849279161205767,0.011795543905635648,5.199479106940207,36
318333,614,409,547.0,44.0,23.0,794.0,1293,1323,0,1,1,0.08043875685557587,0.04204753199268738,5.191653150832941,37
46232,607,424,532.0,61.0,14.0,785.0,1317,897,1,1,1,0.11466165413533834,0.02631578947368421,5.184128487927738,38
355994,703,486,657.0,33.0,13.0,821.0,1051,955,1,1,1,0.0502283105022831,0.0197869101978691,5.162209707177787,39
