property,row_count,distinct_items,distinct_values
888,3000398,417053,454723
790,1790516,417053,33052
available,1503639,417053,2
categoryid,788214,417053,1242
6,631471,409065,4946
283,597419,417053,333165
776,574220,407305,328837
678,481966,417019,3832
364,476486,417053,420554
202,448938,414217,279313
839,417239,396644,3706
917,417227,416171,400893
159,417053,417053,1
764,417053,417053,1
112,417053,417053,1
227,347492,328096,4865
698,289849,274747,1420
451,264416,27094,74
663,240813,21563,96
962,239372,18799,9
400,216481,54823,1160
689,214225,211791,3121
28,172393,169926,186
928,160818,150121,3757
1036,146246,102592,1438
810,142575,103135,8425
348,113303,110602,976
544,113246,20902,552
713,104931,92762,1480
1032,82805,12086,455
