schema_name,table_name,column_name,ordinal_position,data_type,is_nullable
features,dummyjson_interaction_features,user_id,1,BIGINT,YES
features,dummyjson_interaction_features,item_id,2,BIGINT,YES
features,dummyjson_interaction_features,cart_id,3,BIGINT,YES
features,dummyjson_interaction_features,event_type,4,VARCHAR,YES
features,dummyjson_interaction_features,interaction_weight,5,DOUBLE,YES
features,dummyjson_interaction_features,interaction_price,6,DOUBLE,YES
features,dummyjson_interaction_features,line_total,7,DOUBLE,YES
features,dummyjson_interaction_features,line_discounted_total,8,DOUBLE,YES
features,dummyjson_interaction_features,item_category,9,VARCHAR,YES
features,dummyjson_interaction_features,item_rating,10,DOUBLE,YES
features,dummyjson_interaction_features,item_stock,11,BIGINT,YES
features,dummyjson_interaction_features,item_brand,12,VARCHAR,YES
features,dummyjson_interaction_features,has_catalog_metadata,13,INTEGER,YES
features,dummyjson_interaction_features,_source_system,14,VARCHAR,YES
features,dummyjson_interaction_features,_source_file,15,VARCHAR,YES
features,dummyjson_interaction_features,_prepared_at,16,VARCHAR,YES
features,dummyjson_item_features,item_id,1,BIGINT,YES
features,dummyjson_item_features,title,2,VARCHAR,YES
features,dummyjson_item_features,description,3,VARCHAR,YES
features,dummyjson_item_features,category,4,VARCHAR,YES
features,dummyjson_item_features,price,5,DOUBLE,YES
features,dummyjson_item_features,discount_percentage,6,DOUBLE,YES
features,dummyjson_item_features,rating,7,DOUBLE,YES
features,dummyjson_item_features,stock,8,BIGINT,YES
features,dummyjson_item_features,brand,9,VARCHAR,YES
features,dummyjson_item_features,sku,10,VARCHAR,YES
features,dummyjson_item_features,availability_status,11,VARCHAR,YES
features,dummyjson_item_features,minimum_order_quantity,12,BIGINT,YES
features,dummyjson_item_features,item_total_interactions,13,BIGINT,YES
features,dummyjson_item_features,item_distinct_user_count,14,BIGINT,YES
features,dummyjson_item_features,item_total_quantity,15,DOUBLE,YES
features,dummyjson_item_features,item_total_revenue,16,DOUBLE,YES
features,dummyjson_item_features,item_avg_quantity_per_interaction,17,DOUBLE,YES
features,dummyjson_item_features,item_avg_line_total,18,DOUBLE,YES
features,dummyjson_item_features,_source_system,19,VARCHAR,YES
features,dummyjson_item_features,_source_file,20,VARCHAR,YES
features,dummyjson_item_features,_prepared_at,21,VARCHAR,YES
features,dummyjson_user_features,user_id,1,BIGINT,YES
features,dummyjson_user_features,cart_count,2,BIGINT,YES
features,dummyjson_user_features,total_cart_value,3,DOUBLE,YES
